course_title,course_number,instructor,location,time,enrolled,book,course_url 
LGST 111B - 01   Civil Liberties,22629,Staff,TuTh 09:50AM-11:25AM,LEC: ClassroomUnit 001,134 of 150 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LGST__111B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2MjkiO30%3D
LGST 111C - 01   IssuesConstitutionLaw,22763,Staff,MW 05:20PM-06:55PM,LEC: Soc Sci 1 110,67 of 68 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LGST__111C__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NjMiO30%3D
LGST 117 - 01   Sports Law Politics,23274,Staff,TuTh 11:40AM-01:15PM,LEC: Cowell Clrm 131,45 of 48 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LGST__117__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNzQiO30%3D
LGST 120C - 01   Capit Amer Pol Dev,22388,"Carson,B.L.",MWF 10:40AM-11:45AM,LEC: Thim Lecture 001,99 of 100 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LGST__120C__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIzODgiO30%3D
LGST 128I - 01   Race and Law,22517,Staff,MWF 09:20AM-10:25AM,LEC: Kresge Clrm 321,99 of 120 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LGST__128I__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI1MTciO30%3D
LGST 159 - 01   Property and the Law,21975,Staff,Cancelled Cancelled,LEC: TBA,0 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LGST__159__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE5NzUiO30%3D
LGST 196 - 01   Senior Capstone,21976,Staff,TuTh 11:40AM-01:15PM,LEC: J Baskin Engr 372,36 of 35 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LGST__196__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE5NzYiO30%3D
LING 50 - 01   Intr To Linguistics,21977,Staff,TuTh 11:40AM-01:15PM,LEC: Humn Lecture Hall,148 of 178 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__050__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE5NzciO30%3D
LING 53 - 01   Semantics I,21991,Staff,MWF 10:40AM-11:45AM,LEC: Steven Acad 175,67 of 67 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__053__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE5OTEiO30%3D
LING 80D - 01   Language and Mind,21996,Staff,TuTh 03:20PM-04:55PM,LEC: Humn Lecture Hall,102 of 201 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__080D__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE5OTYiO30%3D
LING 102 - 01   Phonology II,21997,Staff,TuTh 08:00AM-09:35AM,LEC: Steven Acad 175,38 of 65 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__102__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE5OTciO30%3D
LING 112 - 01   Syntax I,21987,Staff,MWF 12:00PM-01:05PM,LEC: Cowell Clrm 131,52 of 55 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__112__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE5ODciO30%3D
LING 114A - 01   Syntax III,22002,Staff,TuTh 09:50AM-11:25AM,SEM: Cowell Acad 222,16 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__114A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMDIiO30%3D
LING 140 - 01   Language Change,22003,"Pinho,P.",MWF 09:20AM-10:25AM,LEC: Cowell Clrm 131,14 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__140__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMDMiO30%3D
LING 151 - 01   Phonetic Analysis,22664,"Arredondo,G.F.",TuTh 11:40AM-01:15PM,LEC: Steven Acad 151,23 of 28 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__151__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2NjQiO30%3D
LING 154 - 01   Lang/Social Identity,22857,"Rivas,C.M.",TuTh 03:20PM-04:55PM,LEC: Oakes Acad 106,17 of 30 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__154__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4NTciO30%3D
LING 211 - 01   Phonology A,22006,Staff,TuTh 08:00AM-09:35AM,SEM: Steven Lib 102,0 of 14 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__211__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMDYiO30%3D
LING 221 - 01   Syntax A,22007,Staff,TuTh 03:20PM-04:55PM,LEC: Steven Lib 102,1 of 14 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__221__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMDciO30%3D
LING 229 - 01   Syntax Seminar,22008,"Pinho,P.",TuTh 09:50AM-11:25AM,SEM: Steven Lib 102,1 of 14 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__229__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMDgiO30%3D
LING 231 - 01   Semantics A,22009,"Falcon,S.M.",MW 08:00AM-09:35AM,SEM: Steven Lib 102,0 of 14 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__231__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMDkiO30%3D
LING 240 - 01   Pedagogy Of Ling,22010,Staff,TBA To Be Arranged,SEM: TBA,0 of 30 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__240__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMTAiO30%3D
LING 259 - 01   Phonetics Seminar,22879,"Rivas,C.M.",MW 01:20PM-02:55PM,SEM: Steven Lib 102,2 of 14 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LING__259__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4NzkiO30%3D
LIT 1 - 01   Literary Interpret,22011,"Falcon,S.M.",TuTh 08:30AM-09:35AM,LEC: Merrill Acad 102,72 of 74 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__001__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMTEiO30%3D
LIT 61P - 01   Reading Poetry,22016,"Taft,J.",MWF 04:00PM-05:05PM,LEC: Oakes Acad 105,75 of 75 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__061P__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMTYiO30%3D
LIT 61W - 01   Writing & Research,23788,Staff,MWF 01:20PM-02:25PM,LEC: PhysSciences 136,0 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__061W__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM3ODgiO30%3D
LIT 61X - 01   Tragedy,23341,Staff,MWF 09:20AM-10:25AM,LEC: J Bask Aud 101,72 of 100 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__061X__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzNDEiO30%3D
LIT 61Z - 01,22049,"Gehring,J.S.",MWF 02:40PM-03:45PM,LEC: Kresge Clrm 323,12 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__061Z__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwNDkiO30%3D
LIT 80H - 01   Politics of Fashion,23299,"Thomas,M.C.",MWF 02:40PM-03:45PM,LEC: Humn Lecture Hall,125 of 125 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__080H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyOTkiO30%3D
LIT 90 - 01   Intro Creative Writ,22029,"Snickars,E.S.",Th 05:20PM-06:55PM,SEM: Humn Lecture Hall,13 of 13 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__090__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMjkiO30%3D
LIT 90 - 01   Intro Creative Writ,22029,"Gerston,L.",MW 05:20PM-06:55PM,SEM: Soc Sci 2 141,13 of 13 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__090__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMjkiO30%3D
LIT 90 - 02   Intro Creative Writ,22030,"Beaumont,K.E.",MW 05:20PM-06:55PM,SEM: Cowell Acad 223,13 of 13 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__090__02,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzAiO30%3D
LIT 90 - 02   Intro Creative Writ,22030,"Coonerty,R.E.",Th 05:20PM-06:55PM,SEM: Humn Lecture Hall,13 of 13 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__090__02,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzAiO30%3D
LIT 90 - 03   Intro Creative Writ,22031,"Gehring,J.S.",Th 05:20PM-06:55PM,SEM: Humn Lecture Hall,12 of 13 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__090__03,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzEiO30%3D
LIT 90 - 03   Intro Creative Writ,22031,"Bertram,E.C.",TuTh 08:00AM-09:35AM,SEM: Soc Sci 2 141,12 of 13 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__090__03,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzEiO30%3D
LIT 91A - 01   Inter Fiction Writing,22033,"Fukurai,H.",MW 05:20PM-06:55PM,SEM: Oakes Acad 103,14 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__091A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzMiO30%3D
LIT 91A - 01   Inter Fiction Writing,22033,Staff,Th 05:20PM-06:55PM,SEM: Humn Lecture Hall,14 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__091A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzMiO30%3D
LIT 91B - 01   Inter Poetry Writing,22034,"Patton,G.",Th 05:20PM-06:55PM,SEM: Humn Lecture Hall,14 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__091B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzQiO30%3D
LIT 91B - 01   Inter Poetry Writing,22034,"Bennett,R.T.",TuTh 11:40AM-01:15PM,SEM: Soc Sci 2 141,14 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__091B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzQiO30%3D
LIT 120F - 01   Modern Poetry,23683,"Brasoveanu,A.",MWF 01:20PM-02:25PM,LEC: Kresge Clrm 323,25 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__120F__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM2ODMiO30%3D
LIT 125H - 01   Modern Arabic Novel,23312,"Wagers,M.W.",TuTh 08:00AM-09:35AM,LEC: Merrill Acad 130,4 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__125H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzMTIiO30%3D
LIT 126F - 01   Speculative Fiction,22040,"Ito,J.",MWF 10:40AM-11:45AM,LEC: Soc Sci 1 110,46 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__126F__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwNDAiO30%3D
LIT 130D - 01   Global Middle Ages,23219,"Hankamer,J.",MWF 10:40AM-11:45AM,LEC: R Carson  Acad 250,25 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__130D__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyMTkiO30%3D
LIT 133I - 01   Global Japanese Lit,23313,"Hankamer,J.",MWF 02:40PM-03:45PM,LEC: Cowell Acad 113,25 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__133I__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzMTMiO30%3D
LIT 135E - 01   Hstorical Imaginary,22051,"McGuire,G.L.",MWF 02:40PM-03:45PM,LEC: Soc Sci 2 071,36 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__135E__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwNTEiO30%3D
LIT 146B - 01   Victorian Literature,22026,"Rysling,A.J.",TuTh 03:20PM-04:55PM,LEC: Soc Sci 1 110,44 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__146B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMjYiO30%3D
LIT 146F - 01   Dissent in America,23314,"Sichel,I.",MWF 09:20AM-10:25AM,LEC: Kresge Clrm 323,25 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__146F__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzMTQiO30%3D
LIT 151G - 01   Eng Drama 1576-1642,23928,"Bennett,R.T.",MWF 12:00PM-01:05PM,LEC: Earth&Marine B210,25 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__151G__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM5MjgiO30%3D
LIT 155H - 01   The Horror Film,22043,"Toosarvandani,M.",W 07:10PM-09:30PM,LEC: Soc Sci 1 110,50 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__155H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwNDMiO30%3D
LIT 155H - 01   The Horror Film,22043,"Shlonsky,U.",TuTh 01:30PM-03:05PM,LEC: Soc Sci 1 110,50 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__155H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwNDMiO30%3D
LIT 155N - 01   Cinema in India,23315,"Toosarvandani,M.",TuTh 03:20PM-04:55PM,LEC: Cowell Com 134,13 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__155N__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzMTUiO30%3D
LIT 155N - 01   Cinema in India,23315,"Brasoveanu,A.",Tu 07:10PM-10:10PM,LEC: Steven Acad 150,13 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__155N__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzMTUiO30%3D
LIT 165C - 01   Mesoamerican Lit,23778,"Wagers,M.W.",MWF 12:00PM-01:05PM,LEC: Kresge Clrm 323,25 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__165C__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM3NzgiO30%3D
LIT 167E - 01   Vampire in Pop Cltr,22947,"Rysling,A.J.",TuTh 11:40AM-01:15PM,LEC: Thim Lecture 001,66 of 66 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__167E__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NDciO30%3D
LIT 168A - 01   Cultr Islamic Law,23316,"Keilen,S.",TuTh 01:30PM-03:05PM,LEC: N. Sci Annex 102,12 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__168A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzMTYiO30%3D
LIT 169A - 01   Race/Gender/Material,23317,"Chen,C.S.",TuTh 09:50AM-11:25AM,LEC: R Carson Acad 240,49 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__169A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzMTciO30%3D
LIT 179A - 01   Adv Writing-Fiction,22035,Staff,TuTh 03:20PM-04:55PM,SEM: Soc Sci 2 141,22 of 22 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__179A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzUiO30%3D
LIT 179A - 01   Adv Writing-Fiction,22035,"Bassi,K.L.",Th 05:20PM-06:55PM,SEM: Humn Lecture Hall,22 of 22 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__179A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzUiO30%3D
LIT 179B - 01   Adv Writing-Poetry,22036,"Aladro Font,J.",Th 05:20PM-06:55PM,SEM: Humn Lecture Hall,14 of 22 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__179B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzYiO30%3D
LIT 179B - 01   Adv Writing-Poetry,22036,"Cooppan,V.",TuTh 11:40AM-01:15PM,SEM: Cowell Acad 223,14 of 22 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__179B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzYiO30%3D
LIT 182J - 01   Theorie,23350,Staff,MW 05:20PM-06:55PM,SEM: Hum & Soc Sci 350,4 of 20 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__182J__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMzNTAiO30%3D
LIT 183B - 01   Themen Literatur,23117,Staff,TuTh 01:30PM-03:05PM,LEC: Crown Clrm 104,4 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__183B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxMTciO30%3D
LIT 184D - 01   Prose Authors,22038,Staff,MWF 02:40PM-03:45PM,SEM: Cowell Acad 223,6 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__184D__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzgiO30%3D
LIT 186B - 01   Roman Poetry,22039,Staff,MWF 10:40AM-11:45AM,SEM: Crown Clrm 104,6 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__186B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjIwMzkiO30%3D
LIT 188H - 01   Erotismo y Mistica,22620,Staff,MW 05:20PM-06:55PM,LEC: Steven Acad 152,19 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__188H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2MjAiO30%3D
LIT 189C - 01   Intro a Span Study,23048,Staff,TuTh 09:50AM-11:25AM,LEC: Soc Sci 2 075,28 of 64 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__LIT__189C__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMwNDgiO30%3D
