course_title,course_number,instructor,location,time,enrolled,book,course_url
AMS 266A - 01   Introduction to R,23253,"Guhaniyogi,R.",Tu 09:50AM-11:25AM,LEC: J Baskin Engr 156,0 of 35 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__266A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNTMiO30%3D
AMS 274 - 01   Gen Linear Models,21778,Staff,TuTh 11:40AM-01:15PM,LEC: J Baskin Engr 169,2 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__274__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjE3NzgiO30%3D
AMS 280B - 01   Stat&AppliedMathModel,22663,"Kottas,A.",M 04:00PM-05:00PM,SEM: Engineer 2 180,0 of 40 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__280B__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI2NjMiO30%3D
AMS 280C - 01   Seminar in GAFD,22869,Staff,TBA To Be Arranged,SEM: TBA,0 of 5 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__AMS__280C__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4NjkiO30%3D
ANTH 1 - 01   Intro Biolog Anth,20895,Staff,TuTh 01:30PM-03:05PM,LEC: Humn Lecture Hall,200 of 200 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__001__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA4OTUiO30%3D
ANTH 97 - 01   Lab Safety Practice,23186,"Reti,J.",W 11:00AM-12:30PM,LAB: Soc Sci 1 439,0 of 25 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__097__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxODYiO30%3D
ANTH 102A - 01   Human Skeletal Biol,20916,"Oelze,V.",TuTh 09:50AM-11:25AM,LEC: Soc Sci 1 461,21 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__102A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MTYiO30%3D
ANTH 104 - 01   Human Var and Adapt,20917,"Galloway,A.",MWF 08:00AM-09:05AM,LEC: Thim Lecture 001,81 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__104__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MTciO30%3D
ANTH 110F - 01   Evolution Human Diet,23134,"Fehren-Schmitz,L.",TuTh 03:20PM-04:55PM,LEC: Kresge Clrm 327,71 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__110F__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxMzQiO30%3D
ANTH 110I - 01   SustainbilitySocJust,23257,"Oelze,V.",TBA To Be Arranged,LEC: Online,49 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__110I__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMyNTciO30%3D
ANTH 110L - 01   Decolonizing Method,23885,"Shaw,D.M.",TuTh 05:20PM-06:55PM,LEC: Soc Sci 2 179,25 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__110L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM4ODUiO30%3D
ANTH 110Q - 01   Black Queer Culture,23901,"Hernandez,K.J.",MW 05:20PM-06:55PM,LEC: Soc Sci 2 179,50 of 50 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__110Q__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjM5MDEiO30%3D
ANTH 113 - 01   Tutor Writing Anth,22958,"Shange-Binion,S.T.",TBA To Be Arranged,SEM: TBA,0 of 5 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__113__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NTgiO30%3D
ANTH 130A - 01   People of Africa,20918,Staff,TuTh 01:30PM-03:05PM,LEC: Soc Sci 2 179,39 of 40 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__130A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MTgiO30%3D
ANTH 130L - 01   Latin Amer Ethnogra,20920,"Mahajan,N.",TuTh 03:20PM-04:55PM,LEC: Cowell Clrm 131,28 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__130L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjAiO30%3D
ANTH 139 - 01   Language & Culture,20921,"Delgado-P,G.",TuTh 09:50AM-11:25AM,LEC: Soc Sci 2 179,39 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__139__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjEiO30%3D
ANTH 146 - 01   Anth & Environment,20922,"Brenneis,D.L.",TuTh 05:20PM-06:55PM,LEC: Soc Sci 1 110,36 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__146__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjIiO30%3D
ANTH 150 - 01   Communicating Anth,20923,"Zee,J.C.",TuTh 08:00AM-09:35AM,LEC: Soc Sci 2 179,4 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__150__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjMiO30%3D
ANTH 158 - 01   Feminist Ethnography,22979,"Ramirez,R.K.",TuTh 05:20PM-06:55PM,LEC: Soc Sci 2 071,22 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__158__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NzkiO30%3D
ANTH 170 - 01   His Archaeol Theory,20926,"Kramer,A.L.",TuTh 01:30PM-03:05PM,LEC: Soc Sci 1 153,19 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__170__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjYiO30%3D
ANTH 179 - 01   Slavery in Atlantic,23131,"Schneider,T.D.",TuTh 11:40AM-01:15PM,LEC: Soc Sci 2 075,57 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__179__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxMzEiO30%3D
ANTH 180 - 01   Ceramic Analysis,20927,"Monroe,J.C.",TuTh 09:50AM-11:25AM,SEM: Soc Sci 1 451,7 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__180__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjciO30%3D
ANTH 180L - 01   Ceramic Analys Lab,20928,"O'Malley,G.",W 09:00AM-11:45AM,LAB: Soc Sci 1 451,7 of 0 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__180L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjgiO30%3D
ANTH 194A - 01   Dead Persons,22980,"Habicht Mauche,J.A.",TuTh 07:10PM-08:45PM,SEM: Soc Sci 1 153,23 of 16 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__194A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5ODAiO30%3D
ANTH 194H - 01   Paleoanthropology,22946,"Habicht Mauche,J.A.",Tu 03:20PM-06:20PM,SEM: Soc Sci 2 137,18 of 16 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__194H__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NDYiO30%3D
ANTH 194S - 01   Anthroplgy of Sound,20929,"Galloway,A.",M 12:00PM-03:00PM,SEM: Soc Sci 2 137,16 of 16 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__194S__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MjkiO30%3D
ANTH 195A - 01   Senior Thesis Seminar,23091,"Reti,J.",MW 05:20PM-06:55PM,SEM: Soc Sci 1 414,1 of 7 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__195A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMwOTEiO30%3D
ANTH 200A - 01   Cultural Grad Core,20930,"Brenneis,D.L.",TuTh 01:00PM-04:00PM,SEM: Soc Sci 1 414,0 of 5 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__200A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MzAiO30%3D
ANTH 216 - 01   Methods in BioAnth,22747,"Fehren-Schmitz,L.",TBA To Be Arranged,SEM: TBA,1 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__216__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3NDciO30%3D
ANTH 228 - 01   Grant Writing,20931,"Anderson,M.D.",W 09:00AM-12:00PM,SEM: Soc Sci 1 414,1 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__228__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MzEiO30%3D
ANTH 248 - 01   Finance/Money/Law,22894,"Fehren-Schmitz,L.",F 10:30AM-01:30PM,SEM: Soc Sci 1 414,4 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__248__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI4OTQiO30%3D
ANTH 270A - 01   Archaeol Grad Core,23139,"Chen,N.N.",M 12:00PM-03:00PM,SEM: Soc Sci 1 414,0 of 5 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__270A__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjMxMzkiO30%3D
ANTH 272 - 01   Adv Archeol Research,22963,"Mahajan,N.",Th 09:00AM-12:00PM,SEM: Soc Sci 1 414,0 of 15 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__272__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI5NjMiO30%3D
ANTH 280 - 01   AdvCeramicAnalysis,22703,"Monroe,J.C.",TuTh 09:50AM-11:25AM,SEM: Soc Sci 1 451,0 of 16 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__280__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3MDMiO30%3D
ANTH 280L - 01   CeramicAnalysisLab,22704,"Blackmore,C.",W 09:00AM-11:45AM,LAB: Soc Sci 1 451,0 of 16 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__280L__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjI3MDQiO30%3D
ANTH 292 - 01   Graduate Colloquim,20932,"Habicht Mauche,J.A.",W 03:30PM-05:00PM,SEM: Soc Sci 1 261,0 of 40 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__292__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MzIiO30%3D
ANTH 294R - 01   Adv Read BioAnth,20933,"Habicht Mauche,J.A.",TBA To Be Arranged,SEM: TBA,2 of 10 Enrolled,http://ucsc.verbacompare.com/comparison?id=FL18__ANTH__294R__01,https://pisa.ucsc.edu/class_search/index.php?action=detail&class_data=YToyOntzOjU6IjpTVFJNIjtzOjQ6IjIxODgiO3M6MTA6IjpDTEFTU19OQlIiO3M6NToiMjA5MzMiO30%3D
